target,feature_rank,feature_name,coefficient_standardized,model_r_squared,cv_r_squared_mean,cv_r_squared_std,n_features,n_samples,alpha
angle,1,left_big_toe_z_mean,-1.0511750049273134,0.20454530497173007,-2.1105770692919763,0.48338643258232455,5,345,100.0
angle,2,left_small_toe_z_mean,-0.10966934724431743,0.20454530497173007,-2.1105770692919763,0.48338643258232455,5,345,100.0
angle,3,right_small_toe_z_mean,-0.8605631057021215,0.20454530497173007,-2.1105770692919763,0.48338643258232455,5,345,100.0
angle,4,right_big_toe_z_mean,0.11028584920057306,0.20454530497173007,-2.1105770692919763,0.48338643258232455,5,345,100.0
angle,5,left_big_toe_z_std,-0.3412908754577213,0.20454530497173007,-2.1105770692919763,0.48338643258232455,5,345,100.0
depth,1,right_heel_z_mean,0.6092794105507807,0.044345501690982614,-0.13340153450178288,0.1612326334611757,5,345,100.0
depth,2,right_ankle_z_mean,0.24938997705682817,0.044345501690982614,-0.13340153450178288,0.1612326334611757,5,345,100.0
depth,3,left_ankle_z_mean,-0.2644106408595508,0.044345501690982614,-0.13340153450178288,0.1612326334611757,5,345,100.0
depth,4,right_knee_z_mean,0.254082893325559,0.044345501690982614,-0.13340153450178288,0.1612326334611757,5,345,100.0
depth,5,left_knee_z_mean,0.22790743481878334,0.044345501690982614,-0.13340153450178288,0.1612326334611757,5,345,100.0
left_right,1,right_heel_y_std,0.15042006355344884,0.021389894832946177,-0.00026859425615430863,0.008379610447518908,5,345,100.0
left_right,2,right_ankle_y_std,0.13473701302738622,0.021389894832946177,-0.00026859425615430863,0.008379610447518908,5,345,100.0
left_right,3,right_small_toe_y_std,0.0986272409146336,0.021389894832946177,-0.00026859425615430863,0.008379610447518908,5,345,100.0
left_right,4,right_big_toe_y_std,0.13541910391208836,0.021389894832946177,-0.00026859425615430863,0.008379610447518908,5,345,100.0
