feature_name,feature_type,beta,se_beta,p_value,r_squared,ci_lower,ci_upper
left_big_toe_z,raw_mean,-107.7287824722785,12.307596246018628,9.586779753461016e-17,0.18258514052446326,-131.851671114475,-83.60589383008198
left_small_toe_z,raw_mean,-96.95903704173332,12.806796754149584,3.460598559696402e-13,0.14318244908164382,-122.06035867986651,-71.85771540360014
right_small_toe_z,raw_mean,-85.1801716242809,10.505224398313528,9.187099059392994e-15,0.16084713070673215,-105.77041144497542,-64.58993180358638
right_big_toe_z,raw_mean,-61.91244031539425,9.1665620226394,6.16304197617992e-11,0.11738678008213307,-79.87890187976748,-43.94597875102102
left_big_toe_z,raw_std,-50.40168327198704,11.519748665350011,1.6116725123054815e-05,0.052859651100481145,-72.98039065607307,-27.822975887901016
right_big_toe_z,raw_std,-44.106853009683995,13.921395788791305,0.0016712756850305987,0.02843316113684758,-71.39278875571495,-16.820917263653037
left_ankle_z,raw_mean,-43.141121974785385,3.99228133825764,1.2728376382085121e-23,0.25397887686945436,-50.96599339777036,-35.31625055180041
left_heel_z,raw_mean,-42.36926355590427,5.224344349389953,9.085866677368942e-15,0.16090055907506606,-52.60897848070857,-32.129548631099965
left_small_toe_z,raw_std,-40.176157986359925,11.023156636705675,0.0003091420239736431,0.03728453055121545,-61.78154499430305,-18.570770978416803
right_ankle_z,raw_mean,-39.795374788775895,4.20865898069467,5.231820625850426e-19,0.2067681899452589,-48.04434639093745,-31.54640318661434
